Particle # ,      x (cm)      ,      y (cm)      ,      z (cm)      ,  n_H (c^m-3)  ,   T_gas (K)   ,  T_dust (K)   , chi (Draine)  , Type (I|P|D)
       143 , +5.511065497E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       144 , +5.601410833E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       145 , +5.691756169E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       146 , +5.782101505E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       147 , +5.872446841E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       148 , +5.962792177E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       149 , +6.053137513E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       150 , +6.143482849E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       151 , +6.233828185E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       152 , +6.324173521E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       153 , +6.414518857E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       154 , +6.504864193E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       155 , +6.595209529E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       156 , +6.685554865E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       157 , +6.775900201E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       158 , +6.866245537E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       159 , +6.956590873E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       160 , +7.046936209E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       161 , +7.137281545E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       162 , +7.227626881E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
