Particle # ,      x (cm)      ,      y (cm)      ,      z (cm)      ,  n_H (c^m-3)  ,   T_gas (K)   ,  T_dust (K)   , chi (Draine)  , Type (I|P|D)
       153 , +3.763184396E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       154 , +3.816186993E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       155 , +3.869189590E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       156 , +3.922192187E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       157 , +3.975194785E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       158 , +4.028197382E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       159 , +4.081199979E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       160 , +4.134202576E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       161 , +4.187205173E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       162 , +4.240207770E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
